FG,FGA,3P,3P%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Year
42.3,89.7,11.5,0.347,16.3,0.756,10.9,31.8,42.6,28.5,7.7,4.7,14.0,18.4,2024
41.7,88.8,12.0,0.348,15.0,0.764,8.9,31.0,39.9,27.1,7.4,4.9,13.6,19.4,2024
41.2,89.0,12.4,0.347,15.3,0.782,10.2,33.3,43.4,29.3,7.0,6.2,14.9,16.9,2024
40.8,88.1,11.0,0.348,17.0,0.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,2024
41.0,89.2,12.4,0.355,14.9,0.786,9.6,31.7,41.3,25.4,7.0,4.6,14.1,18.4,2024
40.1,91.3,11.7,0.345,16.5,0.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,2024
38.9,89.3,13.2,0.346,16.3,0.764,11.1,32.1,43.2,25.0,8.3,6.2,15.3,19.3,2024
44.5,90.6,15.9,0.383,16.9,0.776,11.2,34.2,45.3,28.0,8.2,4.3,13.2,18.1,2025
43.2,93.3,18.4,0.368,15.8,0.799,11.8,35.2,47.0,27.1,7.4,5.7,12.3,16.5,2025
44.6,92.6,14.5,0.374,16.7,0.819,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,2025
45.1,89.1,11.9,0.376,17.8,0.77,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,2025
44.3,91.3,12.9,0.369,16.9,0.8,11.1,32.5,43.6,28.1,8.4,4.0,13.6,17.6,2025
43.3,90.3,13.5,0.367,17.7,0.786,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,2025
43.4,90.8,12.7,0.357,17.2,0.806,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19.0,2025
41.8,89.3,15.3,0.377,17.6,0.789,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,2025
43.3,88.7,13.1,0.368,16.9,0.789,9.1,32.4,41.5,29.0,8.4,5.4,13.1,18.6,2025
42.2,88.2,14.7,0.378,17.2,0.81,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,2025
42.2,86.7,14.2,0.387,17.4,0.75,8.2,35.3,43.5,25.6,7.4,4.7,13.4,18.0,2025
41.8,87.3,13.6,0.366,18.6,0.785,9.9,33.5,43.4,26.6,7.9,4.6,14.3,17.6,2025
42.9,94.2,12.8,0.353,16.8,0.738,14.8,34.1,48.9,23.6,8.5,5.1,14.0,19.2,2025
42.4,87.9,12.7,0.373,17.6,0.797,10.5,34.2,44.6,25.7,9.6,4.6,15.2,18.7,2025
41.2,91.4,15.6,0.364,17.0,0.764,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,2025
42.5,89.4,12.8,0.362,17.2,0.774,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,2025
42.2,88.2,12.5,0.364,17.9,0.77,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,2025
42.0,89.0,13.1,0.358,17.4,0.775,11.5,31.6,43.1,28.7,9.4,5.0,15.1,18.5,2025
42.0,90.2,14.2,0.357,16.3,0.774,11.0,32.9,43.9,28.8,8.3,5.6,13.9,16.7,2025
41.9,89.1,15.0,0.367,15.5,0.809,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,2025
41.5,89.3,14.1,0.367,16.4,0.791,10.0,34.5,44.5,27.1,8.4,3.9,13.9,16.0,2025
40.5,89.2,13.0,0.341,17.9,0.78,10.6,30.0,40.6,23.7,9.4,4.6,13.9,19.4,2025
40.8,90.9,13.0,0.342,17.0,0.762,13.5,31.6,45.1,24.0,8.3,5.3,16.1,19.1,2025
40.0,88.1,13.9,0.35,17.2,0.774,11.9,33.2,45.1,25.4,6.7,4.4,17.1,18.8,2025
41.5,90.7,11.8,0.348,15.7,0.748,12.6,32.4,45.0,28.4,8.1,4.2,15.3,21.1,2025
40.8,90.3,12.1,0.347,16.6,0.754,12.2,31.7,43.8,26.0,8.6,5.3,14.7,18.4,2025
39.6,89.0,11.7,0.318,18.5,0.775,11.6,31.9,43.4,23.9,9.2,6.2,14.7,20.9,2025
38.8,88.8,14.0,0.344,16.8,0.787,11.3,31.4,42.6,26.0,8.0,4.4,15.7,21.4,2025
39.1,91.0,13.3,0.339,15.8,0.783,12.5,33.6,46.1,24.8,7.6,4.6,15.8,19.1,2025
39.0,88.9,13.0,0.335,15.9,0.778,10.5,32.7,43.2,24.8,7.5,5.1,15.4,19.5,2025
